标题,房屋类型,面积,方向,层数,建造时间,社区,区,地址,总价,每平方价格,每平方价格带单位,总价带单位,建筑年龄,价格差异
泰宏阳光和苑 精致两居室 中间楼层 无需二次装修 价格可谈,2室2厅1卫,85.98,南,高层(共26层),2018.0,泰宏阳光和苑,郑东新区,龙子湖薛岗街51号,168.0,19540,19540元/m²,168.0万元,7.0,0.004920000000026903
鸿园 大三房，户型好，楼层好，,3室2厅2卫,129.71,南北,高层(共15层),2016.0,鸿园玉兰苑(东苑),郑东新区,鸿园片区东四环,160.0,12336,12336元/m²,160.0万元,9.0,0.010255999999998267
鸿园四期毛坯边户洋房，一梯两户三开间朝南,4室2厅2卫,140.55,南,中层(共6层),1992.0,鸿园梧桐苑,郑东新区,鸿园片区鸿苑路66号,270.0,19211,19211元/m²,270.0万元,33.0,0.010605000000055043
商品住宅 带电梯 南北通透 双卫格局 近医院 高楼层视野好,3室2厅2卫,156.02,南北,高层(共25层),2008.0,海逸名门,郑东新区,CBD商务内环路22号,254.9,16338,16338元/m²,254.9万元,17.0,0.0054760000000158016
海逸名门 有电梯 商品住宅 南向采光好 交通便利 临地铁,3室2厅2卫,147.0,南,中层(共25层),2005.0,海逸名门,郑东新区,CBD商务内环路22号,256.0,17415,17415元/m²,256.0万元,20.0,0.0004999999999881766
新东站片 临地铁 双卫格局 交通便利 近医院 满五 南北通透,3室2厅2卫,144.0,南北,高层(共19层),2012.0,晖达新领地(西区),郑东新区,新东站片正光路,175.0,12153,12153元/m²,175.0万元,13.0,0.003199999999992542
新东站片 朝南 房龄新 大两居 商业配套齐全 带电梯,2室2厅1卫,86.02,南,中层(共34层),2016.0,英地金台府邸,郑东新区,新东站片永平路80号,168.0,19531,19531元/m²,168.0万元,9.0,0.005662000000000944
满五 双卫生间 交通便利 近医院 中间好楼层 装修好,3室2厅2卫,158.0,南,中层(共25层),2005.0,金成阳光世纪,郑东新区,CBD商务内环路19号,300.0,18988,18988元/m²,300.0万元,20.0,0.010400000000004184
南北通透 有电梯 房龄新 中间好楼层 产权清晰 满二,3室2厅2卫,130.87,南北,高层(共8层),2016.0,融创美盛象湖壹号2期,郑东新区,郑东新区周边润泽路27号,198.0,15130,15130元/m²,198.0万元,9.0,0.0063100000000133605
曙光苑 商业配套齐全 医疗配套成熟 满五 商品住宅 有电梯,2室2厅1卫,87.51,南,高层(共18层),2012.0,曙光苑,郑东新区,通泰路千宁路6号,149.0,17027,17027元/m²,149.0万元,13.0,0.003276999999997088
广电天韵 精装两室后排安静 采光好视线佳 急售 随时看房,2室2厅1卫,86.0,南北,低层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,190.0,22094,22094元/m²,190.0万元,7.0,0.008399999999994634
商品住宅 大两房 近地铁 电梯房 正南朝向 出行方便,2室2厅1卫,96.0,南,低层(共18层),2008.0,龙腾盛世,郑东新区,黄河南路金水东路11号,195.0,20313,20313元/m²,195.0万元,17.0,0.004799999999988813
阳光和苑 精装两居室 家电家具全送 满五年 急售,2室2厅1卫,84.26,南,高层(共26层),2018.0,泰宏阳光和苑,郑东新区,龙子湖薛岗街51号,165.0,19583,19583元/m²,165.0万元,7.0,0.006358000000005859
恒通新城 满五 朝南 精装好房 双卫 正规商品房,3室2厅2卫,127.0,南,高层(共17层),2013.0,恒通新城,郑东新区,"金水东路郑开大道,近大有路",169.0,13308,13308元/m²,169.0万元,12.0,0.011599999999987176
宜居苑 交通便利 带电梯 商圈成熟 正南朝向 商品房,3室2厅2卫,151.0,南,中层(共18层),2010.0,宜居苑,郑东新区,新东站片黄河南路189号,175.0,11590,11590元/m²,175.0万元,15.0,0.00899999999998613
（急售）财信，中间位置，朝南三居室，业主诚心随时看,3室2厅1卫,106.27,南,高层(共34层),2014.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,175.0,16468,16468元/m²,175.0万元,11.0,0.005435999999974683
精装修 大两房 正规商品房 环境优美 交通便捷 小区新,2室2厅1卫,88.85,南,低层(共34层),2017.0,金悦府,郑东新区,列里路永平路121号,175.0,19697,19697元/m²,175.0万元,8.0,0.00784500000000321
列里路 房龄新 有电梯 南向采光好 临地铁 高绿化 商品房,2室2厅1卫,88.85,南,低层(共34层),2016.0,金悦府,郑东新区,列里路永平路121号,175.0,19697,19697元/m²,175.0万元,9.0,0.00784500000000321
商圈成熟 临地铁 满五 出行方便 电梯房 医疗配套成熟,3室2厅1卫,87.56,东南,低层(共34层),2011.0,绿地新里花园二期,郑东新区,列里路普惠路2号,122.0,13934,13934元/m²,122.0万元,14.0,0.006104000000007659
十年前的价格买东区，专业代理各小区过户手续业主急售可大刀砍价,4室2厅2卫,131.43,南北,低层(共33层),2015.0,绿地新里花园二期,郑东新区,列里路普惠路2号,175.0,13316,13316元/m²,175.0万元,10.0,0.01218800000000897
新里卢浮公馆二期 东南户型 正规商品房 商业配套齐全 楼层好,3室2厅1卫,88.33,东南,中层(共34层),2011.0,绿地新里花园二期,郑东新区,列里路普惠路2号,120.0,13586,13586元/m²,120.0万元,14.0,0.0051379999999880965
正商东方港湾 大两居 满五 商品住宅 临地铁 近医院,2室2厅1卫,89.96,南北,中层(共27层),2012.0,正商东方港湾,郑东新区,新东站片康平路9号,118.0,13117,13117元/m²,118.0万元,13.0,0.0005319999999784386
碧桂园国控天誉 楼层好 满二 停车方便 有电梯 南北通透,3室2厅2卫,120.61,南北,中层(共16层),2020.0,碧桂园国控天誉,郑东新区,杨金片区文雅街9号,190.0,15754,15754元/m²,190.0万元,5.0,0.008994000000001279
雅居乐国际花园(西苑) 精装修 满五 小三房 东南朝向,3室2厅1卫,95.14,东南,高层(共26层),2016.0,雅居乐国际花园(西苑),郑东新区,郑东新区周边象湖南路71号,110.0,11562,11562元/m²,110.0万元,9.0,0.0008679999999969823
高楼层 赠送车位 方正三居室 普罗旺世龙之梦东苑,3室2厅2卫,138.0,南北,高层(共18层),2016.0,普罗旺世龙之梦东苑,郑东新区,"北龙湖龙湖中环东路,近夏令街",380.0,27537,27537元/m²,380.0万元,9.0,0.010600000000010823
旭日龙园 近医院 产权清晰 正南朝向 中间楼层 精装修,2室2厅1卫,85.65,南,中层(共31层),2014.0,旭日龙园,郑东新区,商都路商都路,110.0,12843,12843元/m²,110.0万元,11.0,0.00029500000002258275
水之郡 次新小区 南北通透 出行方便 带电梯 商品房,3室2厅2卫,132.77,南北,高层(共20层),2020.0,水之郡,郑东新区,"龙子湖姚桥路,近德惠街",193.0,14537,14537元/m²,193.0万元,5.0,0.0077490000000182135
未来华庭 满五 房龄新 正南朝向 有电梯 车位充足,2室2厅1卫,87.56,南,低层(共35层),2017.0,未来华庭,郑东新区,龙子湖文苑南路,168.0,19187,19187元/m²,168.0万元,8.0,0.0013720000000034815
未来华庭 满二 精装修 正规商品房 小区新 南北通透,2室2厅1卫,87.56,南北,高层(共31层),2017.0,未来华庭,郑东新区,龙子湖文苑南路,160.0,18274,18274元/m²,160.0万元,8.0,0.007143999999982498
未来华庭 停车方便 电梯房 高楼层采光充足 南北通透 商品房,3室2厅1卫,120.0,南北,高层(共32层),2017.0,未来华庭,郑东新区,龙子湖文苑南路,220.0,18334,18334元/m²,220.0万元,8.0,0.008000000000009777
正商书香华府138平三室两厅两卫 楼层好 临地铁 双,3室2厅2卫,138.0,南北,中层(共27层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,260.0,18841,18841元/m²,260.0万元,9.0,0.00580000000002201
新东站片 近医院 近地铁 楼龄新 精装可拎包入住 满二,2室2厅1卫,89.0,南北,低层(共31层),2016.0,建业天筑,郑东新区,康平路康宁街58号,260.0,29214,29214元/m²,260.0万元,9.0,0.004599999999982174
急售！（店长力推）聚源路总校，观景四房，直观CBD 满五年,4室2厅2卫,157.0,南北,中层(共16层),2007.0,鑫苑中央花园(东区),郑东新区,金水东路金水东路7号,228.0,14523,14523元/m²,228.0万元,18.0,0.011099999999999
（顶层送阁楼！）全新装修 拎包入住 随时可以看房,5室2厅1卫,90.0,南北,高层(共6层),2008.0,永基美邻,郑东新区,农业东路农业东路,185.0,20556,20556元/m²,185.0万元,17.0,0.003999999999990678
运河上郡(南区) 满五 带电梯 医疗配套成熟 出行方便,3室2厅2卫,149.84,南北,中层(共14层),2009.0,运河上郡(南区),郑东新区,天赋路农业东路30号,320.0,21357,21357元/m²,320.0万元,16.0,0.013287999999988642
水之郡 电梯房 高楼层视野无遮挡 双卫格局 产权清晰,3室2厅2卫,127.0,南,高层(共27层),2020.0,水之郡,郑东新区,"龙子湖姚桥路,近德惠街",251.0,19764,19764元/m²,251.0万元,5.0,0.0028000000000076852
（不临高架，精致装修基本没咋住）位置很安静，直接拎包住。,2室2厅1卫,89.0,南,低层(共27层),2022.0,水之郡,郑东新区,"龙子湖姚桥路,近德惠街",138.0,15506,15506元/m²,138.0万元,3.0,0.0033999999999991815
郑东新区 电梯洋房 送大露台 一梯两户 南北通透急售！,3室2厅2卫,131.47,南北,共5层,2018.0,融创美盛象湖壹号1期,郑东新区,"郑东新区周边凤栖街,近润泽路",195.0,14833,14833元/m²,195.0万元,7.0,0.009451000000012755
一品中央 临地铁 有电梯 双卫 商业配套成熟 近医院,3室2厅2卫,149.0,南北,中层(共20层),2008.0,一品中央,郑东新区,商鼎路商鼎路1号,153.0,10269,10269元/m²,153.0万元,17.0,0.008100000000013097
（室内 ）上叠 带一个地下车位 80平露台 随时看房,4室2厅3卫,136.36,南北,共5层,2018.0,鸿园梧桐苑,郑东新区,鸿园片区鸿苑路66号,330.0,24201,24201元/m²,330.0万元,7.0,0.004836000000011609
交通便利 临地铁 医疗配套成熟 产权清晰 精装可拎包入住,2室1厅1卫,120.0,东,中层(共25层),2006.0,海逸名门,郑东新区,CBD商务内环路22号,216.0,18000,18000元/m²,216.0万元,19.0,0.0
南北通透 出行方便 双卫格局 楼龄新 满二 高楼层视野好,3室2厅2卫,137.0,南北,高层(共32层),2017.0,晖达新天地,郑东新区,新东站片七里河北路,226.0,16497,16497元/m²,226.0万元,8.0,0.008900000000011232
近地铁 高楼层视野无遮挡 有电梯 装修好 朝南 商圈成熟,3室2厅1卫,140.0,南,高层(共11层),2006.0,宏光鑫城,郑东新区,兴荣街千宁街3号,235.0,16786,16786元/m²,235.0万元,19.0,0.003999999999990678
宜居苑 临地铁 交通便利 中间好楼层 商圈成熟 正规商品房,3室2厅2卫,140.0,南,中层(共11层),2003.0,宜居苑,郑东新区,新东站片黄河南路189号,179.0,12786,12786元/m²,179.0万元,22.0,0.003999999999990678
临河观景大毛坯三房 中豪汇景湾 观景户型,3室2厅2卫,143.19,南北,中层(共22层),2012.0,中豪汇景湾,郑东新区,祥盛街祥盛街59号,305.0,21301,21301元/m²,305.0万元,13.0,0.009018999999966582
满五 朝南 高楼层采光充足 大两房 医疗配套成熟 临地铁,2室2厅1卫,88.0,南,高层(共18层),2007.0,盛世年华,郑东新区,黄河南路黄河东路89号,155.0,17614,17614元/m²,155.0万元,18.0,0.003199999999992542
（新上）阿卡迪亚 56复式 豪华装修 诚心出售,5室2厅3卫,204.89,南,高层(共6层),2007.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,355.0,17327,17327元/m²,355.0万元,18.0,0.012902999999994336
正商书香华府 带电梯 商品住宅 交通便利 高楼层采光充足,3室2厅2卫,138.0,南,高层(共27层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,232.0,16812,16812元/m²,232.0万元,9.0,0.005599999999986949
满二 产权清晰 高楼层视野无遮挡 带电梯 双卫生间 次新房,3室2厅2卫,126.83,南北,高层(共29层),2021.0,天伦城壹号院,郑东新区,"鸿园片区鸿宝路,近任庄路",195.0,15375,15375元/m²,195.0万元,4.0,0.001125000000001819
海马公园五期 2021年交房 两梯四户 仅一套 全南户型,2室2厅1卫,92.39,南,低层(共27层),2021.0,海马公园(D区),郑东新区,"新东站片普惠路,近商都路",215.0,23271,23271元/m²,215.0万元,4.0,0.0007689999999911379
龙祥苑 交通便利 满五 中间楼层采光好 临地铁 商品房,2室2厅1卫,93.0,南,中层(共6层),2005.0,龙祥苑,郑东新区,兴荣街商鼎路,109.0,11721,11721元/m²,109.0万元,20.0,0.0053000000000054115
（诚售）鑫苑西苑，小区中间，实用大四房，业主诚心随时可看。,4室2厅2卫,149.89,东,高层(共11层),2005.0,鑫苑中央花园(西区),郑东新区,金水东路金水东路3号,260.0,17347,17347元/m²,260.0万元,20.0,0.014182999999945878
鸿园秀水苑 一楼带花园 送100平地下室精装修大三房265出,3室2厅1卫,134.71,南,低层(共6层),2012.0,秀水苑,郑东新区,鸿园片区鸿苑路45号,280.0,20786,20786元/m²,280.0万元,13.0,0.00820600000002969
停车方便 小区新 大两房 满五 电梯房 交通便利,2室2厅1卫,91.78,南,中层(共24层),2017.0,海马公园(C区),郑东新区,新东站片普惠路39号,198.0,21574,21574元/m²,198.0万元,8.0,0.006171999999992295
未来华庭 小区新 双卫 朝南 临地铁 车位充足 商品房,3室2厅2卫,126.31,南,低层(共32层),2017.0,未来华庭,郑东新区,龙子湖文苑南路,220.0,17418,17418元/m²,220.0万元,8.0,0.006758000000019138
鑫苑中央花园(东区) 购物方便 出行方便 高楼层视野好,3室2厅2卫,145.0,南,高层(共18层),2007.0,鑫苑中央花园(东区),郑东新区,金水东路金水东路7号,285.0,19656,19656元/m²,285.0万元,18.0,0.012000000000000455
金悦府 刚需两居 小区新 正规商品房 装修好 有电梯,2室2厅1卫,88.0,南,高层(共34层),2017.0,金悦府,郑东新区,列里路永平路121号,170.0,19319,19319元/m²,170.0万元,8.0,0.0072000000000116415
郑东新区双气洋房单价10XXX诚心出售,3室2厅2卫,126.06,南,低层(共6层),2021.0,东润城(三期裕园),郑东新区,郑东新区周边原圃路30号,128.0,10154,10154元/m²,128.0万元,4.0,0.001324000000010983
中建翰林苑 双卫生间 带车位.东边户.中间楼层 随时看,3室2厅2卫,129.0,南,中层(共17层),2019.0,中建翰林苑,郑东新区,金水东路郑信路,185.0,14342,14342元/m²,185.0万元,6.0,0.011799999999993815
新东站片 带电梯 双卫 南北通透 近医院 临地铁 出行方便,4室2厅2卫,143.0,南北,低层(共32层),2012.0,海马公园(A区),郑东新区,新东站片普惠路,318.0,22238,22238元/m²,318.0万元,13.0,0.0033999999999991815
交通便捷 购物方便 医疗配套成熟 临地铁 满五 正规商品房,4室2厅1卫,143.0,南,低层(共31层),2014.0,海马公园(A区),郑东新区,新东站片普惠路,270.0,18882,18882元/m²,270.0万元,11.0,0.012600000000020373
近地铁 医疗配套成熟 交通便利 南北通透 精装修 正规商品房,3室1厅1卫,88.8,南北,低层(共26层),2013.0,鑫苑世纪东城西苑,郑东新区,康平路康平路,110.0,12388,12388元/m²,110.0万元,12.0,0.005439999999993006
鑫苑世纪东城西苑 商业配套成熟 临地铁 中间楼层 满五,3室2厅1卫,89.0,南北,中层(共26层),2013.0,鑫苑世纪东城西苑,郑东新区,康平路康平路,128.0,14383,14383元/m²,128.0万元,12.0,0.008700000000004593
满五 业主诚售 看房方便,3室2厅1卫,88.82,南北,中层(共27层),2015.0,鑫苑世纪东城西苑,郑东新区,康平路康平路,112.0,12610,12610元/m²,112.0万元,10.0,0.002020000000001687
（急售）鑫苑世纪东城，通透三居室，随时可看。,3室2厅1卫,89.0,南北,中层(共27层),2013.0,鑫苑世纪东城西苑,郑东新区,康平路康平路,118.0,13259,13259元/m²,118.0万元,12.0,0.005099999999998772
黄河东路 高楼层采光充足 有电梯 刚需小三居 交通便捷 满二,3室2厅1卫,106.0,南,高层(共34层),2014.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,190.0,17925,17925元/m²,190.0万元,11.0,0.0049999999999954525
电梯房 高楼层视野无遮挡 商品房 刚需小三居 出行方便 满五,3室2厅1卫,105.5,南,高层(共34层),2014.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,185.0,17536,17536元/m²,185.0万元,11.0,0.004799999999988813
阳光和苑 精致三居室 可自扩花园 边户 业主诚心出售 可谈,3室2厅2卫,125.48,南北,低层(共26层),2018.0,泰宏阳光和苑,郑东新区,龙子湖薛岗街51号,245.0,19526,19526元/m²,245.0万元,7.0,0.012247999999999593
融创象湖一号一期，131平1梯2户洋房，采光无遮挡,3室2厅2卫,131.0,南北,高层(共6层),2018.0,融创美盛象湖壹号1期,郑东新区,"郑东新区周边凤栖街,近润泽路",175.0,13359,13359元/m²,175.0万元,7.0,0.002900000000011005
东区电梯大三房精装修装修花了约20万一天未住,3室2厅1卫,134.41,南北,中层(共26层),2017.0,星联湾,郑东新区,郑东新区周边象辰路88号,118.0,8780,8780元/m²,118.0万元,8.0,0.011980000000008317
海马公园(D区)|普惠路4室2厅2卫158.98平方,4室2厅2卫,158.98,南,中层(共30层),2020.0,海马公园(D区),郑东新区,"新东站片普惠路,近商都路",400.0,25161,25161元/m²,400.0万元,5.0,0.009577999999976328
海逸名门 精装好房 南向采光好 正规商品房 近医院 出行方便,3室2厅2卫,147.67,南,高层(共25层),2005.0,海逸名门,郑东新区,CBD商务内环路22号,290.0,19639,19639元/m²,290.0万元,20.0,0.009113000000013471
金悦府 近地铁 刚需两居 高绿化 小区新 中间楼层,2室1厅1卫,86.56,南,高层(共34层),2017.0,金悦府,郑东新区,列里路永平路121号,159.0,18369,18369元/m²,159.0万元,8.0,0.0020640000000184955
列里路 刚需两居 带电梯 交通便利 商业配套成熟 近医院,2室2厅1卫,89.33,南北,低层(共33层),2011.0,绿地新里花园一期,郑东新区,列里路永平路19号,106.0,11867,11867元/m²,106.0万元,14.0,0.007910999999992896
商业配套齐全 大两房 高楼层视野无遮挡 交通便捷 朝南,2室2厅1卫,86.0,南,高层(共32层),2017.0,英地金台府邸,郑东新区,新东站片永平路80号,168.0,19535,19535元/m²,168.0万元,8.0,0.0010000000000047748
青春 医疗配套成熟 商品房 大两房 精装可拎包入住,2室2厅1卫,91.0,南北,低层(共18层),2012.0,青春圣地,郑东新区,农业南路七里河南路,190.0,20880,20880元/m²,190.0万元,13.0,0.008000000000009777
青春 双卫生间 电梯房 商业配套成熟 南北通透 商品房,3室2厅2卫,143.0,南北,中层(共21层),2012.0,青春圣地,郑东新区,农业南路七里河南路,265.0,18532,18532元/m²,265.0万元,13.0,0.00760000000002492
九如路 金成阳光世纪 景观房 户型房子 高层视野好 近外国语,3室2厅2卫,159.0,南,高层(共24层),2006.0,金成阳光世纪,郑东新区,CBD商务内环路19号,300.0,18868,18868元/m²,300.0万元,19.0,0.0011999999999829924
满五 高楼层视野好 商品住宅 低密宜居 装修好 有电梯,3室2厅1卫,120.1,南北,高层(共8层),2010.0,老街绿地郑东新苑三期,郑东新区,绿地老街天赋路29号,280.0,23314,23314元/m²,280.0万元,15.0,0.0011399999999639476
青春悦园 南北通透 精装修 好楼层 临河观景 看房随时,2室2厅1卫,89.0,南北,中层(共18层),2012.0,青春圣地,郑东新区,农业南路七里河南路,140.0,15731,15731元/m²,140.0万元,13.0,0.005899999999996908
商业配套成熟 带电梯 南北通透 医疗配套成熟 满五 刚需两居,2室2厅1卫,89.88,南北,高层(共18层),2013.0,青春圣地,郑东新区,农业南路七里河南路,116.0,12907,12907元/m²,116.0万元,12.0,0.008115999999986911
买房必看86平 两室改三室 不临高架 拎包入住 诚心出,2室2厅1卫,86.0,南北,高层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,195.0,22675,22675元/m²,195.0万元,7.0,0.0049999999999954525
东方鼎盛御府 近地铁 精装可拎包入住 楼龄新 高楼层采光充足,3室2厅2卫,127.0,南北,高层(共32层),2016.0,东方鼎盛御府,郑东新区,康平路康平路,270.0,21260,21260元/m²,270.0万元,9.0,0.0020000000000095497
列里路 东南朝向 近地铁 医疗配套成熟 楼层好 环境好,2室2厅1卫,89.0,东南,高层(共34层),2017.0,金悦府,郑东新区,列里路永平路121号,160.0,17978,17978元/m²,160.0万元,8.0,0.004199999999997317
聚源路总校（ ） 电梯洋房 双地铁口 急售可谈。,3室2厅2卫,143.99,南北,中层(共6层),2009.0,聚龙城,郑东新区,金水东路祥盛街10号,330.0,22919,22919元/m²,330.0万元,16.0,0.010681000000033691
立体世界 商业配套齐全 装修好 交通便捷 医疗配套成熟,3室2厅2卫,148.12,东,高层(共15层),2008.0,立体世界,郑东新区,黄河南路黄河东路91号,285.0,19242,19242元/m²,285.0万元,17.0,0.012503999999978532
龙祥苑 医疗配套成熟 商业配套齐全 正规商品房 交通便利,3室2厅2卫,154.47,南北,中层(共6层),2005.0,龙祥苑,郑东新区,兴荣街商鼎路,290.0,18774,18774元/m²,290.0万元,20.0,0.0019779999999514075
新里卢浮公馆二期 购物方便 装修好 东南朝向 正规商品房,3室2厅1卫,87.52,东南,高层(共34层),2012.0,绿地新里花园二期,郑东新区,列里路普惠路2号,120.0,13712,13712元/m²,120.0万元,13.0,0.007424000000000319
十年前的价格买东区，专业代理各小区过户手续业主急售可大刀砍价,3室2厅2卫,131.43,南北,高层(共34层),2015.0,绿地新里花园二期,郑东新区,列里路普惠路2号,169.0,12859,12859元/m²,169.0万元,10.0,0.005837000000013859
交通便利 近地铁 医疗配套成熟 南北通透 高楼层采光充足,4室2厅2卫,131.43,南北,高层(共34层),2012.0,绿地新里花园二期,郑东新区,列里路普惠路2号,260.0,19783,19783元/m²,260.0万元,13.0,0.00796900000000278
满五 近地铁 近医院 出行方便 双卫格局 带电梯,4室2厅2卫,157.07,南,中层(共17层),2005.0,鑫苑中央花园(西区),郑东新区,金水东路金水东路3号,255.0,16235,16235元/m²,255.0万元,20.0,0.0031449999999608735
满五 精装可拎包入住 低密宜居 双卫 南向采光好 交通便利,3室2厅2卫,128.0,南,低层(共6层),2007.0,老街绿地郑东新苑一期,郑东新区,绿地老街天赋路12-20号,262.0,20469,20469元/m²,262.0万元,18.0,0.003199999999992542
绿地老街是哪个整层阁楼 再送露台,5室3厅1卫,87.0,南,高层(共6层),2007.0,老街绿地郑东新苑一期,郑东新区,绿地老街天赋路12-20号,190.0,21840,21840元/m²,190.0万元,18.0,0.008000000000009777
雅居乐国际花园洋房东边户采光好一梯两户随时看,3室2厅2卫,138.0,南北,中层(共11层),2014.0,雅居乐国际花园(西苑),郑东新区,郑东新区周边象湖南路71号,167.0,12102,12102元/m²,167.0万元,11.0,0.0075999999999964984
正商物业 精致大两房 中间楼层 视野开阔 采光好 楼层好,2室2厅1卫,89.99,南,中层(共27层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,159.0,17669,17669元/m²,159.0万元,9.0,0.0033309999999744377
兴荣街 满五 近地铁 出行方便 产权清晰 双卫格局 电梯房,3室2厅2卫,159.0,南北,中层(共18层),2008.0,大地东方名都,郑东新区,兴荣街兴荣街17-30号,260.0,16353,16353元/m²,260.0万元,17.0,0.01269999999999527
医疗配套成熟 满五 购物方便 南北通透 带电梯 精装好房,3室2厅2卫,148.0,南北,低层(共18层),2008.0,大地东方名都,郑东新区,兴荣街兴荣街17-30号,236.0,15946,15946元/m²,236.0万元,17.0,0.0007999999999981355
民航花园 精装好房 商品住宅 南北通透 交通便利 满五,3室2厅2卫,143.37,南北,高层(共8层),2006.0,民航花园,郑东新区,天赋路天赋路39号,266.0,18554,18554元/m²,266.0万元,19.0,0.00869799999998122
新芒果和郡 刚需两居 电梯房 交通便捷 南北通透 装修好,2室2厅1卫,89.13,南北,中层(共30层),2013.0,新芒果和郡,郑东新区,金水东路学理路9号,195.0,21879,21879元/m²,195.0万元,12.0,0.007526999999981854
鑫苑东区，赠25平方露台，两年内新装修， 聚源路！,4室2厅2卫,144.0,南北,高层(共16层),2007.0,鑫苑中央花园(东区),郑东新区,金水东路金水东路7号,226.0,15695,15695元/m²,226.0万元,18.0,0.008000000000009777
碧桂园天琴湾 装修好 次新房 双卫格局 带电梯 南北通透,4室2厅2卫,144.04,南北,低层(共30层),2021.0,碧桂园天琴湾,郑东新区,龙子湖明理路,317.0,22008,22008元/m²,317.0万元,4.0,0.0032319999999685933
小区新 正南朝向 装修好 刚需两居 近医院 满五,2室2厅1卫,89.0,南,高层(共34层),2017.0,金悦府,郑东新区,列里路永平路121号,160.0,17978,17978元/m²,160.0万元,8.0,0.004199999999997317
电梯房 南北通透 车位充足 出行方便 临地铁 商品住宅,3室2厅2卫,138.0,南北,低层(共33层),2017.0,海马公园(C区),郑东新区,新东站片普惠路39号,380.0,27537,27537元/m²,380.0万元,8.0,0.010600000000010823
海马公园(C区) 车位充足 楼龄新 商品住宅 近医院 临地铁,2室2厅1卫,92.0,南,中层(共27层),2016.0,海马公园(C区),郑东新区,新东站片普惠路39号,209.0,22718,22718元/m²,209.0万元,9.0,0.005599999999986949
广电天韵 全屋智能 精装好房 正规商品房 双卫生间 南北通透,3室2厅2卫,124.0,南北,高层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,265.0,21371,21371元/m²,265.0万元,7.0,0.0004000000000132786
鸿园玉兰苑 126平大三房 满五年可贷款 万急售好房,3室2厅2卫,126.0,南,中层(共15层),2016.0,鸿园玉兰苑(东苑),郑东新区,鸿园片区东四环,160.0,12699,12699元/m²,160.0万元,9.0,0.007399999999989859
（送私家花园！送车位！户型好！得房率高！）顺驰 大街,3室2厅2卫,131.0,南,共5层,2006.0,第一大街水月湾小区,郑东新区,CBD天泽街,365.0,27863,27863元/m²,365.0万元,19.0,0.00529999999997699
高铁东站 海马公园 精装四房,4室2厅2卫,142.6,南北,低层(共32层),2012.0,海马公园(A区),郑东新区,新东站片普惠路,308.0,21599,21599元/m²,308.0万元,13.0,0.0017399999999838656
一品中央 临地铁 双卫生间 南北通透 满五 电梯房,3室2厅2卫,149.88,南北,低层(共20层),2008.0,一品中央,郑东新区,商鼎路商鼎路1号,160.0,10676,10676元/m²,160.0万元,17.0,0.01188799999999901
一品中央 装修好 有电梯 满五 商圈成熟 双卫生间,3室2厅2卫,150.0,南北,中层(共20层),2008.0,一品中央,郑东新区,商鼎路商鼎路1号,160.0,10667,10667元/m²,160.0万元,17.0,0.0049999999999954525
一品中央 商业配套齐全 刚需两居 有电梯 交通便利 楼层好,2室2厅1卫,123.0,南,高层(共20层),2008.0,一品中央,郑东新区,商鼎路商鼎路1号,170.0,13822,13822元/m²,170.0万元,17.0,0.010600000000010823
东瑞园社区 近医院 双卫 出行方便 临地铁 满五,3室2厅2卫,142.95,南北,低层(共20层),2009.0,东瑞园社区,郑东新区,康宁街农业东路109号,267.0,18678,18678元/m²,267.0万元,16.0,0.002009999999984302
近医院 正规商品房 高楼层视野好 满五 商圈成熟 正南朝向,3室2厅2卫,140.33,南,高层(共21层),2012.0,青春圣地,郑东新区,农业南路七里河南路,279.0,19882,19882元/m²,279.0万元,13.0,0.004105999999978849
法拍房 98平168万 老街绿地郑东新苑三期 有电梯,2室2厅1卫,98.8,南北,中层(共8层),2010.0,老街绿地郑东新苑三期,郑东新区,绿地老街天赋路29号,168.0,17005,17005元/m²,168.0万元,15.0,0.009399999999999409
降价急售雅居乐国际花园温馨三房随时看.中装修,3室2厅1卫,94.97,西南,中层(共26层),2016.0,雅居乐国际花园(西苑),郑东新区,郑东新区周边象湖南路71号,116.0,12215,12215元/m²,116.0万元,9.0,0.005855000000011046
满五 高楼层采光充足 电梯房 正南朝向 近地铁 产权清晰,3室2厅1卫,134.0,南,高层(共22层),2009.0,聚龙城,郑东新区,金水东路祥盛街10号,230.0,17165,17165元/m²,230.0万元,16.0,0.01099999999999568
中豪汇景湾 大两房 正规商品房 楼龄新 楼层好,2室2厅1卫,87.55,南北,中层(共30层),2015.0,中豪汇景湾,郑东新区,祥盛街祥盛街59号,170.0,19418,19418元/m²,170.0万元,10.0,0.004589999999979
